mode,class,IS
pos,NA,ss_identified
pos,cholesterol,ss_identified
pos,MG,ss_identified
pos,DG,ss_identified
pos,TG,ss_identified
pos,LPC,ss_identified
pos,LPC-O,ss_identified
pos,LPE,ss_identified
pos,LPE-O,ss_identified
pos,LPG,ss_identified
pos,LPI,ss_identified
pos,LPS,ss_identified
pos,PC,ss_identified
pos,PC-P,ss_identified
pos,PC-O,ss_identified
pos,PE,ss_identified
pos,PE-P,ss_identified
pos,PE-O,ss_identified
pos,PI,ss_identified
pos,PS,ss_identified
pos,Cer,ss_identified
pos,CerP,ss_identified
pos,SM,ss_identified
pos,CE,ss_identified
