label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,PSB0042_WS_blank_0,PSB0042_WS_blank_1,PSB0042_WS_blank_2,PSB0042_WS_blank_3,PSB0042_WS_blank_4,PSB0042_WS_blank_5,PSB0042_WS_blank_6,PSB0042_WS_S01_HPLMax_R1,PSB0042_WS_S02_HPLMax_R2,PSB0042_WS_S03_HPLMax_R3,PSB0042_WS_S04_HPLMax_R4,PSB0042_WS_S05_HPLMax_R5,PSB0042_WS_S06_HPLMaxLowGlc_R1,PSB0042_WS_S07_HPLMaxLowGlc_R2,PSB0042_WS_S08_HPLMaxLowGlc_R3,PSB0042_WS_S09_HPLMaxLowGlc_R4,PSB0042_WS_S10_HPLMaxLowGlc_R5,PSB0042_WS_S11_KD_R1,PSB0042_WS_S12_KD_R2,PSB0042_WS_S13_KD_R3,PSB0042_WS_S14_KD_R4,PSB0042_WS_S15_KD_R5,PSB0042_WS_S16_KDHighGlc_R1,PSB0042_WS_S17_KDHighGlc_R2,PSB0042_WS_S18_KDHighGlc_R3,PSB0042_WS_S19_KDHighGlc_R4,PSB0042_WS_S20_KDHighGlc_R5
,1,1,19,171.006149,2.410,0.828290,[M-H]-,,Glycerol-3-phosphate (1),C00093,C3H9O6P,3.190,1.516899,171.006149,0.00,0.00,0.00,0.00,0.00,2828.47,0.00,5174568.00,4745740.00,2726220.50,4641699.00,7559044.50,5290503.50,4518036.50,5628692.50,4878242.50,6302586.00,6641687.00,8179422.00,5701349.00,6640883.00,6440496.50,6005532.00,6199877.00,2640292.00,6005007.00,6571573.50
g,2,2,25,171.005554,6.633,0.825760,[M-H]-,,Glycerol-3-phosphate (1),C00093,C3H9O6P,1.033,4.996843,171.005554,1336905.75,391057.06,1963100.88,1400425.25,1326001.12,1581573.75,1197236.75,41727440.00,41829592.00,22353180.00,40226500.00,35909316.00,50252280.00,47568636.00,43300080.00,46337560.00,37020260.00,41576220.00,39528004.00,51145080.00,38969868.00,40577812.00,35431088.00,39392656.00,36167424.00,42222116.00,34121424.00
,3,3,10,171.005554,7.194,0.763086,[M-H]-,,Glycerol-3-phosphate (1),C00093,C3H9O6P,1.594,4.996843,171.005554,243019.02,0.00,236350.50,503970.75,269087.81,277100.28,158098.81,15278667.00,8243610.00,4619902.00,12093289.00,9340366.00,12988964.00,14480845.00,13300776.00,15217415.00,9602177.00,7948432.50,11123123.00,14819018.00,11511204.00,11539051.00,10391359.00,10959637.00,7952402.00,8093342.00,10918697.00
,4,4,1,171.005615,11.245,0.513297,[M-H]-,,Glycerol-3-phosphate (1),C00093,C3H9O6P,5.645,4.639925,171.005615,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122155.40,73452.66,0.00,83387.77,140943.41,251196.53,168050.25,259793.42,203591.75,213954.92,86774.34,107332.15,304418.47,181830.94,63488.59,96939.55,144217.41,29683.90,104790.77,43069.30
,5,5,1,171.005615,11.983,0.526040,[M-H]-,,Glycerol-3-phosphate (1),C00093,C3H9O6P,6.383,4.639925,171.005615,0.00,0.00,12823.01,13112.06,0.00,0.00,0.00,421709.00,71313.10,0.00,17055.38,61831.82,203454.25,178509.47,271046.28,109504.27,82150.70,85481.17,136464.44,113066.12,66705.09,119482.55,98813.47,71361.32,72641.54,89140.34,113142.83
,6,6,14,168.989868,6.196,0.844999,[M-H]-,,Glyceraldehyde-3-phosphate (1),C00118,C3H7O6P,0.596,5.237031,168.989868,312535.59,164108.72,40463.98,25537.52,39316.09,77634.33,14142.14,118827.64,194083.30,135771.62,1075156.62,280183.72,181560.25,239829.23,134672.19,345441.66,113227.09,93287.56,74281.82,333474.88,115130.74,204425.50,13204.85,51156.27,28563.66,427089.00,57928.54
g,7,7,22,168.989914,6.694,0.818890,[M-H]-,,Glyceraldehyde-3-phosphate (1),C00118,C3H7O6P,1.094,4.966150,168.989914,172773.77,162920.97,1396173.75,1171613.25,941215.12,1301152.50,1036632.50,28601760.00,27339424.00,11523072.00,23429020.00,28570654.00,34754960.00,34245116.00,29402328.00,26099758.00,23102516.00,29080514.00,27378774.00,32331614.00,32065142.00,31117162.00,25885040.00,29256578.00,23900020.00,32107320.00,28579106.00
,8,8,1,168.989761,10.106,0.614644,[M-H]-,,Glyceraldehyde-3-phosphate (1),C00118,C3H7O6P,4.506,5.869086,168.989761,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157935.33,0.00,0.00,0.00,11956.74,46268.79,0.00,0.00,16652.29,0.00,23986.16,13653.20,0.00,19589.69,35478.03,0.00,40746.53,0.00,15119.22,44485.86
g,9,9,12,168.989914,6.694,0.808672,[M-H]-,,Dihydroxyacetone phosphate (1),C00111,C3H7O6P,1.074,4.966150,168.989914,172773.77,162920.97,1396173.75,1171613.25,941215.12,1288706.38,1036632.50,28601760.00,27339424.00,11523072.00,23429020.00,28570654.00,34754960.00,34245116.00,29402328.00,26099758.00,23102516.00,29080514.00,27378774.00,32331614.00,32065142.00,31117162.00,25885040.00,29256578.00,23900020.00,32107320.00,28579106.00
,10,10,23,168.989914,6.699,0.857209,[M-H]-,,Dihydroxyacetone phosphate (1),C00111,C3H7O6P,1.079,4.966150,168.989914,105284.73,82906.50,596366.19,437595.78,471435.00,816913.19,435176.47,22151840.00,20200352.00,11212592.00,22025156.00,22509038.00,24973916.00,34245116.00,28505748.00,25622812.00,23089474.00,21451792.00,19588196.00,21782106.00,23309378.00,20852466.00,24442644.00,22082566.00,23240058.00,22752080.00,21018114.00
,11,11,1,168.989746,10.106,0.614644,[M-H]-,,Dihydroxyacetone phosphate (1),C00111,C3H7O6P,4.486,5.959380,168.989746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157935.33,0.00,0.00,0.00,11956.74,46268.79,0.00,0.00,16652.29,0.00,23986.16,13653.20,0.00,19589.69,35478.03,0.00,40746.53,0.00,15119.22,44485.86
