group,cell_line,medium,glucose,BHB,timepoint,hours
LN229_HPLMax_t0,LN229,HPLMax,5.5,0.05,t0,0
LN229_HPLMaxlowGlc_t0,LN229,HPLMaxlowGlc,4.5,0.05,t0,0
LN229_BHBlowGlc_t0,LN229,BHBlowGlc,4.5,3.5,t0,0
LN229_BHB_t0,LN229,BHB,5.5,3.5,t0,0
LN229_HPLMax_t1,LN229,HPLMax,5.5,0.05,t1,48
LN229_HPLMaxlowGlc_t1,LN229,HPLMaxlowGlc,4.5,0.05,t1,48
LN229_BHBlowGlc_t1,LN229,BHBlowGlc,4.5,3.5,t1,48
LN229_BHB_t1,LN229,BHB,5.5,3.5,t1,48
A172_HPLMax_t0,A172,HPLMax,5.5,0.05,t0,0
A172_HPLMaxlowGlc_t0,A172,HPLMaxlowGlc,4.5,0.05,t0,0
A172_BHBlowGlc_t0,A172,BHBlowGlc,4.5,3.5,t0,0
A172_BHB_t0,A172,BHB,5.5,3.5,t0,0
A172_HPLMax_t1,A172,HPLMax,5.5,0.05,t1,48
A172_HPLMaxlowGlc_t1,A172,HPLMaxlowGlc,4.5,0.05,t1,48
A172_BHBlowGlc_t1,A172,BHBlowGlc,4.5,3.5,t1,48
A172_BHB_t1,A172,BHB,5.5,3.5,t1,48
