compound,class,length,double_bonds
IS_LPA(17:1) M-H,NA,NA,NA
IS_15:0-18:1(d7) PC M-H,NA,NA,NA
IS_15:0-18:1(d7) PC M+Cl-,NA,NA,NA
IS_15:0-18:1(d7) PC M+COOH-,NA,NA,NA
IS_18:1(d7) Lyso PC M-H,NA,NA,NA
IS_18:1(d7) Lyso PC M+Cl-,NA,NA,NA
IS_18:1(d7) Lyso PC M+HCOO-,NA,NA,NA
IS_15:0-18:1(d7) PE M-H,NA,NA,NA
IS_18:1(d7) Lyso PE M-H,NA,NA,NA
IS_15:0-18:1(d7) PG M-H,NA,NA,NA
IS_15:0-18:1(d7) PI M-H,NA,NA,NA
IS_15:0-18:1(d7) PS M-H,NA,NA,NA
IS_15:0-18:1(d7) PA M-H,NA,NA,NA
IS_d18:1-18:1(d9) SM M+COOH-,NA,NA,NA
IS_FA18:1(d7),NA,NA,NA
LPA(C14:0) M-H,LPA,14,0
LPA(C16:0) M-H,LPA,16,0
LPA(C16:1) M-H,LPA,16,1
LPA(C18:0) M-H,LPA,18,0
LPA(C18:1) M-H,LPA,18,1
LPA(C18:2) M-H,LPA,18,2
LPA(C18:3) M-H,LPA,18,3
LPA(C20:0) M-H,LPA,20,0
LPA(C20:3) M-H,LPA,20,3
LPA(C20:4) M-H,LPA,20,4
LPA(C20:5) M-H,LPA,20,5
LPA(C22:0) M-H,LPA,22,0
LPA(C22:5) M-H,LPA,22,5
LPA(C22:6) M-H,LPA,22,6
O-LPA(C14:0) M-H,LPA-O,14,0
O-LPA(C16:0) M-H,LPA-O,16,0
O-LPA(C16:1) M-H,LPA-O,16,1
O-LPA(C18:0) M-H,LPA-O,18,0
O-LPA(C18:1) M-H,LPA-O,18,1
O-LPA(C18:2) M-H,LPA-O,18,2
O-LPA(C18:3) M-H,LPA-O,18,3
O-LPA(C20:0) M-H,LPA-O,20,0
O-LPA(C20:3) M-H,LPA-O,20,3
O-LPA(C20:4) M-H,LPA-O,20,4
O-LPA(C20:5) M-H,LPA-O,20,5
O-LPA(C22:0) M-H,LPA-O,22,0
O-LPA(C22:5) M-H,LPA-O,22,5
O-LPA(C22:6) M-H,LPA-O,22,6
LPC(C14:0) M+HCOO-,LPC,14,0
LPC(C16:0) M+HCOO-,LPC,16,0
LPC(C16:1) M+HCOO-,LPC,16,1
LPC(C18:0) M+HCOO-,LPC,18,0
LPC(C18:1) M+HCOO-,LPC,18,1
LPC(C18:2) M+HCOO-,LPC,18,2
LPC(C18:3) M+HCOO-,LPC,18,3
LPC(C20:0) M+HCOO-,LPC,20,0
LPC(C20:3) M+HCOO-,LPC,20,3
LPC(C20:4) M+HCOO-,LPC,20,4
LPC(C20:5) M+HCOO-,LPC,20,5
LPC(C22:0) M+HCOO-,LPC,22,0
LPC(C22:5) M+HCOO-,LPC,22,5
LPC(C22:6) M+HCOO-,LPC,22,6
O-LPC(C14:0)  M+HCOO-,LPC-O,14,0
O-LPC(C16:0) M+HCOO-,LPC-O,16,0
O-LPC(C16:1) M+HCOO-,LPC-O,16,1
O-LPC(C18:0) M+HCOO-,LPC-O,18,0
O-LPC(C18:1) M+HCOO-,LPC-O,18,1
O-LPC(C18:2) M+HCOO-,LPC-O,18,2
O-LPC(C18:3) M+HCOO-,LPC-O,18,3
O-LPC(C20:0) M+HCOO-,LPC-O,20,0
O-LPC(C20:3) M+HCOO-,LPC-O,20,3
O-LPC(C20:4) M+HCOO-,LPC-O,20,4
O-LPC(C20:5) M+HCOO-,LPC-O,20,5
O-LPC(C22:0) M+HCOO-,LPC-O,22,0
O-LPC(C22:5) M+HCOO-,LPC-O,22,5
O-LPC(C22:6) M+HCOO-,LPC-O,22,6
LPE(C14:0),LPE,14,0
LPE(C16:0),LPE,16,0
LPE(C16:1),LPE,16,1
LPE(C18:0),LPE,18,0
LPE(C18:1),LPE,18,1
LPE(C18:2),LPE,18,2
LPE(C18:3),LPE,18,3
LPE(C20:0),LPE,20,0
LPE(C20:3),LPE,20,3
LPE(C20:4),LPE,20,4
LPE(C20:5),LPE,20,5
LPE(C22:0),LPE,22,0
LPE(C22:5),LPE,22,5
LPE(C22:6),LPE,22,6
O-LPE(C14:0),LPE-O,14,0
O-LPE(C16:0),LPE-O,16,0
O-LPE(C16:1),LPE-O,16,1
O-LPE(C18:0),LPE-O,18,0
O-LPE(C18:1),LPE-O,18,1
O-LPE(C18:2),LPE-O,18,2
O-LPE(C18:3),LPE-O,18,3
O-LPE(C20:0),LPE-O,20,0
O-LPE(C20:3),LPE-O,20,3
O-LPE(C20:4),LPE-O,20,4
O-LPE(C20:5),LPE-O,20,5
O-LPE(C22:0),LPE-O,22,0
O-LPE(C22:5),LPE-O,22,5
O-LPE(C22:6),LPE-O,22,6
LPG(C14:0) M-H,LPG,14,0
LPG(C16:0) M-H,LPG,16,0
LPG(C16:1) M-H,LPG,16,1
LPG(C18:0) M-H,LPG,18,0
LPG(C18:1) M-H,LPG,18,1
LPG(C18:2) M-H,LPG,18,2
LPG(C18:3) M-H,LPG,18,3
LPG(C20:0) M-H,LPG,20,0
LPG(C20:3) M-H,LPG,20,3
LPG(C20:4) M-H,LPG,20,4
LPG(C20:5) M-H,LPG,20,5
LPG(C22:0) M-H,LPG,22,0
LPG(C22:5) M-H,LPG,22,5
LPG(C22:6) M-H,LPG,22,6
LPI(C14:0) M-H,LPI,14,0
LPI(C16:0) M-H,LPI,16,0
LPI(C16:1) M-H,LPI,16,1
LPI(C18:0) M-H,LPI,18,0
LPI(C18:1) M-H,LPI,18,1
LPI(C18:2) M-H,LPI,18,2
LPI(C18:3) M-H,LPI,18,3
LPI(C20:0) M-H,LPI,20,0
LPI(C20:3) M-H,LPI,20,3
LPI(C20:4) M-H,LPI,20,4
LPI(C20:5) M-H,LPI,20,5
LPI(C22:0) M-H,LPI,22,0
LPI(C22:5) M-H,LPI,22,5
LPI(C22:6) M-H,LPI,22,6
LPS(C14:0) M-H,LPS,14,0
LPS(C16:0) M-H,LPS,16,0
LPS(C16:1) M-H,LPS,16,1
LPS(C18:0) M-H,LPS,18,0
LPS(C18:1) M-H,LPS,18,1
LPS(C18:2) M-H,LPS,18,2
LPS(C18:3) M-H,LPS,18,3
LPS(C20:0) M-H,LPS,20,0
LPS(C20:3) M-H,LPS,20,3
LPS(C20:4) M-H,LPS,20,4
LPS(C20:5) M-H,LPS,20,5
LPS(C22:0) M-H,LPS,22,0
LPS(C22:5) M-H,LPS,22,5
LPS(C22:6) M-H,LPS,22,6
PA(C28:0) M-H,PA,28,0
PA(C30:0) M-H,PA,30,0
PA(C30:1) M-H,PA,30,1
PA(C32:0) M-H,PA,32,0
PA(C32:1) M-H,PA,32,1
PA(C32:2) M-H,PA,32,2
PA(C32:3) M-H,PA,32,3
PA(C34:0) M-H,PA,34,0
PA(C34:1) M-H,PA,34,1
PA(C34:2) M-H,PA,34,2
PA(C34:3) M-H,PA,34,3
PA(C34:4) M-H,PA,34,4
PA(C34:5) M-H,PA,34,5
PA(C36:0) M-H,PA,36,0
PA(C36:1) M-H,PA,36,1
PA(C36:2) M-H,PA,36,2
PA(C36:3) M-H,PA,36,3
PA(C36:4) M-H,PA,36,4
