compound,class,length,double_bonds
IS_(17:1)-LPA,NA,NA,NA
IS_15:0-18:1(d7) PC M+H,NA,NA,NA
IS_18:1(d7) Lyso PC M+H,NA,NA,NA
IS_15:0-18:1(d7) PE M+H,NA,NA,NA
IS_18:1(d7) Lyso PE M+H,NA,NA,NA
IS_15:0-18:1(d7) PG M+Na,NA,NA,NA
IS_15:0-18:1(d7) PI M+Na,NA,NA,NA
IS_15:0-18:1(d7) PS M+H,NA,NA,NA
IS_15:0-18:1(d7)-15:0 TAG M+Na,NA,NA,NA
IS_15:0-18:1(d7) DAG [-H2O] M+H,NA,NA,NA
IS_15:0-18:1(d7) DAG M+Na,NA,NA,NA
IS_18:1(d7) MAG M+H,NA,NA,NA
IS_18:1(d7) MAG M+Na,NA,NA,NA
IS_18:1(d7) MAG [-H2O] M+H,NA,NA,NA
IS_d18:1-18:1(d9) SM M+H,NA,NA,NA
IS_Cholesterol_d7 [-H2O] M+H,NA,NA,NA
IS_7-Dehydrocholesterol-d7 [-H2O] M+H,NA,NA,NA
IS_7-Dehydrocholesterol-d7 M+H,NA,NA,NA
IS_18:1(d7)CholEster M+NH4,NA,NA,NA
IS_CoenzymeQ9-NH4+,NA,NA,NA
CoenzymeQ10-H+,NA,NA,NA
CoenzymeQ10-NH4+,NA,NA,NA
Ubichinol-H+,NA,NA,NA
Cholesterol,cholesterol,NA,NA
Cholesterol[-H2O],cholesterol,NA,NA
MG(16:0) [-H2O] M+H,MG,16,0
MG(18:0) [-H2O] M+H,MG,18,0
MG(18:1) [-H2O] M+H,MG,18,1
MG(18:2) [-H2O] M+H,MG,18,2
MG(20:0) [-H2O] M+H,MG,20,0
MG(20:4) [-H2O] M+H,MG,20,4
MG(20:5) [-H2O] M+H,MG,20,5
MG(22:6) [-H2O] M+H,MG,22,6
DG(16/16 )[-H2O] M+H,DG,32,0
DG(16/18)[-H2O] M+H,DG,34,0
DG(16/18:1)[-H2O] M+H,DG,24,1
DG(16/20:4)[-H2O] M+H,DG,36,4
DG(16/22:6)[-H2O] M+H,DG,38,6
DG(18/18)[-H2O] M+H,DG,36,0
DG(18/18:1)[-H2O] M+H,DG,36,1
DG(18/20:4)[-H2O] M+H,DG,38,4
DG(18/22:6)[-H2O] M+H,DG,40,6
DG(18:1/18:1)[-H2O] M+H,DG,36,2
DG(18:1/20:4)[-H2O] M+H,DG,38,4
DG(18:1/22:6)[-H2O] M+H,DG,38,7
DG(20:4/20:4)[-H2O] M+H,DG,40,8
DG(20:4/22:6)[-H2O] M+H,DG,42,10
DG(22:6/22:6)[-H2O] M+H,DG,44,12
TG(48:0) M+Na,TG,48,0
TG(50:0) M+Na,TG,50,0
TG(52:0) M+Na,TG,52,0
TG(54:0) M+Na,TG,54,0
TG(56:0) M+Na,TG,56,0
TG(58:0) M+Na,TG,58,0
TG(60:0) M+Na,TG,60,0
TG(48:1) M+Na,TG,48,1
TG(48:2) M+Na,TG,48,2
TG(48:3) M+Na,TG,48,3
TG(50:1) M+Na,TG,50,1
TG(50:2) M+Na,TG,50,2
TG(50:3) M+Na,TG,50,3
TG(50:4) M+Na,TG,50,4
TG(52:1) M+Na,TG,52,1
TG(52:2) M+Na,TG,52,2
TG(52:3) M+Na,TG,52,3
TG(52:4) M+Na,TG,52,4
TG(52:5) M+Na,TG,52,5
TG(54:1) M+Na,TG,54,1
TG(54:2) M+Na,TG,54,2
TG(54:3) M+Na,TG,54,3
TG(54:4) M+Na,TG,54,4
TG(54:5) M+Na,TG,54,5
TG(54:6) M+Na,TG,54,6
TG(54:7) M+Na,TG,54,7
TG(54:8) M+Na,TG,54,8
TG(54:9) M+Na,TG,54,9
TG(56:1) M+Na,TG,56,1
TG(56:2) M+Na,TG,56,2
TG(56:3) M+Na,TG,56,3
TG(56:4) M+Na,TG,56,4
TG(56:5) M+Na,TG,56,5
TG(56:6) M+Na,TG,56,6
TG(56:7) M+Na,TG,56,7
TG(56:8) M+Na,TG,56,8
TG(56:9) M+Na,TG,56,9
TG(56:10) M+Na,TG,56,10
TG(56:11) M+Na,TG,56,11
